AccidentUID,Unfalltyp,Unfallschwere,Fussgänger,Fahrrad,Motorrad,Strassentyp,Jahr,Monat,Wochentag,Stunde,Breitengrad,Längengrad,Datum
98295911A68C80B6E05329B9D80AA20B,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2019,9,Mittwoch,7,47.42649592840914,9.373311306906194,2019-09-01
4CE42EDC85A700F2E0530A839427BC28,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2017,3,Donnerstag,15,47.426428774573665,9.37678232681328,2017-03-01
4DE545A0ABB701BAE0530A8394276BDE,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2017,3,Donnerstag,17,47.43709440125948,9.399991592718907,2017-03-01
8ECD09C0EF708199E05328B9D80AA95A,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2019,6,Donnerstag,4,47.412275940396114,9.311363080322128,2019-06-01
6EFA434721970116E0530A8394277DAD,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,True,Nebenstrasse,2018,6,Samstag,15,47.432218808053726,9.424712458754344,2018-06-01
982957E3D6F565BEE05329B9D80A46BB,Überqueren der Fahrbahn,Unfall mit Schwerverletzten,False,True,False,Hauptstrasse,2019,10,Donnerstag,15,47.43759073931372,9.40625552757913,2019-10-01
938363BF5596AAE0E05328B9D80AA1B5,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2019,6,Sonntag,3,47.40967467897991,9.308660734874639,2019-06-01
50F7F3813D680092E0530A8394270254,Abbiegeunfall,Unfall mit Leichtverletzten,False,True,False,Hauptstrasse,2017,3,Mittwoch,15,47.41907673178493,9.353675222059016,2017-03-01
8E93B52D7DD4DD8AE05328B9D80A7991,Auffahrunfall,Unfall mit Leichtverletzten,False,False,True,Hauptstrasse,2019,6,Montag,16,47.41800720735404,9.351436367699753,2019-06-01
713388BDA11401D6E0530A8394273507,Auffahrunfall,Unfall mit Leichtverletzten,False,False,True,Hauptstrasse,2018,6,Dienstag,16,47.42358331699499,9.368326953876716,2018-06-01
CB89BF4C4F3D394FE053DDB9D80AC666,Schleuder- oder Selbstunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2021,8,Montag,9,47.415711423886485,9.342817851571018,2021-08-01
982959BE074465ABE05329B9D80A6230,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2019,10,Montag,18,47.433293794825516,9.398631662312367,2019-10-01
51895D9E146D01C6E0530A8394278875,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Nebenstrasse,2017,4,Montag,14,47.4263609591468,9.375997666425043,2017-04-01
982957E3D59065BEE05329B9D80A46BB,Einbiegeunfall,Unfall mit Leichtverletzten,False,False,False,Nebenstrasse,2019,10,Mittwoch,10,47.44298365432178,9.378883921542636,2019-10-01
6F0D98D3578801C0E0530A839427B753,Fussgängerunfall,Unfall mit Leichtverletzten,True,True,False,Nebenstrasse,2018,6,Donnerstag,8,47.41532217288229,9.346780306786776,2018-06-01
8F6FA2C435519448E05328B9D80A789C,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Hauptstrasse,2019,6,Donnerstag,16,47.42122484998686,9.361388026999585,2019-06-01
CE10F5E5C6D38470E053DDB9D80AE939,Auffahrunfall,Unfall mit Leichtverletzten,False,False,False,Autobahn,2021,8,Donnerstag,17,47.43916165328593,9.40752034865738,2021-08-01
71BBC043B195019AE0530A839427D563,Fussgängerunfall,Unfall mit Leichtverletzten,True,False,False,Hauptstrasse,2018,6,Samstag,4,47.42750974467828,9.374554614515464,2018-06-01
